time	running	waiting
2026-08-31 02:39:20	1.0	0.0
2026-08-31 02:39:50	1.0	0.0
2026-08-31 02:40:21	1.0	0.0
2026-08-31 02:40:51	2.0	0.0
2026-08-31 02:41:21	2.0	0.0
2026-08-31 02:41:51	2.0	0.0
2026-08-31 02:42:21	2.0	0.0
2026-08-31 02:42:51	2.0	0.0
2026-08-31 02:43:21	3.0	0.0
2026-08-31 02:43:51	3.0	0.0
2026-08-31 02:44:21	3.0	0.0
2026-08-31 02:44:51	3.0	0.0
2026-08-31 02:45:21	3.0	0.0
2026-08-31 02:45:51	3.0	0.0
2026-08-31 02:46:21	2.0	0.0
2026-08-31 02:46:51	3.0	0.0
2026-08-31 02:47:21	3.0	0.0
2026-08-31 02:47:51	3.0	0.0
2026-08-31 02:48:21	3.0	0.0
2026-08-31 02:48:51	3.0	0.0
2026-08-31 02:49:21	3.0	0.0
2026-08-31 02:49:52	3.0	0.0
2026-08-31 02:50:22	3.0	0.0
2026-08-31 02:50:52	3.0	0.0
2026-08-31 02:51:22	3.0	0.0
2026-08-31 02:51:52	3.0	0.0
2026-08-31 02:52:22	3.0	0.0
2026-08-31 02:52:52	3.0	0.0
2026-08-31 02:53:22	3.0	0.0
2026-08-31 02:53:52	3.0	0.0
2026-08-31 02:54:22	3.0	0.0
2026-08-31 02:54:52	2.0	1.0
2026-08-31 02:55:22	2.0	0.0
2026-08-31 02:55:52	2.0	0.0
2026-08-31 02:56:22	3.0	0.0
2026-08-31 02:56:52	2.0	0.0
2026-08-31 02:57:22	2.0	0.0
2026-08-31 02:57:52	3.0	0.0
2026-08-31 02:58:22	2.0	0.0
2026-08-31 02:58:52	2.0	0.0
2026-08-31 02:59:23	2.0	1.0
2026-08-31 02:59:53	3.0	0.0
2026-08-31 03:00:23	3.0	0.0
2026-08-31 03:00:53	3.0	0.0
2026-08-31 03:01:23	3.0	0.0
2026-08-31 03:01:53	2.0	0.0
2026-08-31 03:02:23	3.0	0.0
2026-08-31 03:02:53	2.0	0.0
2026-08-31 03:03:23	3.0	0.0
2026-08-31 03:03:53	3.0	0.0
2026-08-31 03:04:23	3.0	0.0
2026-08-31 03:04:53	3.0	0.0
2026-08-31 03:05:23	3.0	0.0
2026-08-31 03:05:53	3.0	0.0
2026-08-31 03:06:23	2.0	0.0
2026-08-31 03:06:53	3.0	0.0
2026-08-31 03:07:23	3.0	0.0
2026-08-31 03:07:54	3.0	0.0
2026-08-31 03:08:24	3.0	0.0
2026-08-31 03:08:54	2.0	0.0
2026-08-31 03:09:24	3.0	0.0
2026-08-31 03:09:54	2.0	0.0
2026-08-31 03:10:24	3.0	0.0
2026-08-31 03:10:54	2.0	0.0
2026-08-31 03:11:24	3.0	0.0
2026-08-31 03:11:54	3.0	0.0
2026-08-31 03:12:24	2.0	0.0
2026-08-31 03:12:54	3.0	0.0
2026-08-31 03:13:24	3.0	0.0
2026-08-31 03:13:54	3.0	0.0
2026-08-31 03:14:24	3.0	0.0
2026-08-31 03:14:54	2.0	0.0
2026-08-31 03:15:24	3.0	0.0
2026-08-31 03:15:54	3.0	0.0
2026-08-31 03:16:24	3.0	0.0
2026-08-31 03:16:55	3.0	0.0
2026-08-31 03:17:25	3.0	0.0
2026-08-31 03:17:55	3.0	0.0
2026-08-31 03:18:25	3.0	0.0
2026-08-31 03:18:55	2.0	0.0
2026-08-31 03:19:25	2.0	0.0
2026-08-31 03:19:55	2.0	0.0
2026-08-31 03:20:25	3.0	0.0
2026-08-31 03:20:55	1.0	0.0
2026-08-31 03:21:25	3.0	0.0
2026-08-31 03:21:55	3.0	0.0
2026-08-31 03:22:25	1.0	0.0
2026-08-31 03:22:55	3.0	0.0
2026-08-31 03:23:25	3.0	0.0
2026-08-31 03:23:55	2.0	0.0
2026-08-31 03:24:25	3.0	0.0
2026-08-31 03:24:55	3.0	0.0
2026-08-31 03:25:25	3.0	0.0
2026-08-31 03:25:56	3.0	0.0
2026-08-31 03:26:26	3.0	0.0
2026-08-31 03:26:56	3.0	0.0
2026-08-31 03:27:26	3.0	0.0
2026-08-31 03:27:56	3.0	0.0
2026-08-31 03:28:26	3.0	0.0
2026-08-31 03:28:56	3.0	0.0
2026-08-31 03:29:26	3.0	0.0
2026-08-31 03:29:56	3.0	0.0
2026-08-31 03:30:26	2.0	0.0
2026-08-31 03:30:56	3.0	0.0
2026-08-31 03:31:26	3.0	0.0
