time	running	waiting
2026-08-31 12:59:07	2.0	0.0
2026-08-31 12:59:37	2.0	0.0
2026-08-31 13:00:07	3.0	0.0
2026-08-31 13:00:37	3.0	0.0
2026-08-31 13:01:07	3.0	0.0
2026-08-31 13:01:37	3.0	0.0
2026-08-31 13:02:07	3.0	0.0
2026-08-31 13:02:37	3.0	0.0
2026-08-31 13:03:07	3.0	0.0
2026-08-31 13:03:37	3.0	0.0
2026-08-31 13:04:07	3.0	0.0
2026-08-31 13:04:38	2.0	0.0
2026-08-31 13:05:08	2.0	0.0
2026-08-31 13:05:38	2.0	0.0
2026-08-31 13:06:08	2.0	0.0
2026-08-31 13:06:38	2.0	0.0
2026-08-31 13:07:08	2.0	0.0
2026-08-31 13:07:38	1.0	0.0
2026-08-31 13:08:08	3.0	0.0
2026-08-31 13:08:38	3.0	0.0
2026-08-31 13:09:08	2.0	0.0
2026-08-31 13:09:38	1.0	0.0
2026-08-31 13:10:08	2.0	0.0
2026-08-31 13:10:38	2.0	0.0
2026-08-31 13:11:08	2.0	0.0
2026-08-31 13:11:39	2.0	0.0
2026-08-31 13:12:09	2.0	0.0
2026-08-31 13:12:39	2.0	0.0
2026-08-31 13:13:09	2.0	1.0
2026-08-31 13:13:39	2.0	1.0
2026-08-31 13:14:09	2.0	0.0
2026-08-31 13:14:39	2.0	1.0
2026-08-31 13:15:09	2.0	1.0
2026-08-31 13:15:39	2.0	1.0
2026-08-31 13:16:09	2.0	1.0
2026-08-31 13:16:39	3.0	0.0
2026-08-31 13:17:09	3.0	0.0
2026-08-31 13:17:39	3.0	0.0
2026-08-31 13:18:09	3.0	0.0
2026-08-31 13:18:39	3.0	0.0
2026-08-31 13:19:09	3.0	0.0
2026-08-31 13:19:39	3.0	0.0
2026-08-31 13:20:10	3.0	0.0
2026-08-31 13:20:40	3.0	0.0
2026-08-31 13:21:10	2.0	0.0
2026-08-31 13:21:40	3.0	0.0
2026-08-31 13:22:10	3.0	0.0
2026-08-31 13:22:40	3.0	0.0
2026-08-31 13:23:10	3.0	0.0
2026-08-31 13:23:40	3.0	0.0
2026-08-31 13:24:10	3.0	0.0
2026-08-31 13:24:40	3.0	0.0
